0,1630941106.8736482,≤‚ ‘13,60
0,1630941106.8736482,≤‚ ‘26,76
0,1630941106.8736482,≤‚ ‘39,5
0,1630941106.8746445,≤‚ ‘58,90
0,1630941106.8746445,≤‚ ‘37,4
0,1630941106.8746445,≤‚ ‘15,16
0,1630941106.8746445,≤‚ ‘95,58
0,1630941106.8746445,≤‚ ‘18,76
0,1630941106.8756418,≤‚ ‘25,33
0,1630941106.8756418,≤‚ ‘83,74
0,1630941106.876639,≤‚ ‘8,65
0,1630941106.876639,≤‚ ‘75,96
0,1630941106.876639,≤‚ ‘62,76
0,1630941106.876639,≤‚ ‘26,39
0,1630941106.876639,≤‚ ‘4,80
0,1630941106.8776367,≤‚ ‘36,62
0,1630941106.8776367,≤‚ ‘51,64
0,1630941106.8776367,≤‚ ‘67,88
0,1630941109.7621799,≤‚ ‘90,34
0,1630941109.7621799,≤‚ ‘29,69
0,1630941109.7732568,≤‚ ‘31,2
0,1630941109.7732568,≤‚ ‘46,18
0,1630941109.7741494,≤‚ ‘60,33
0,1630941109.7741494,≤‚ ‘6,7
0,1630941109.7741494,≤‚ ‘9,55
0,1630941109.7741494,≤‚ ‘72,83
0,1630941109.7741494,≤‚ ‘14,87
0,1630941109.7751455,≤‚ ‘33,71
0,1630941109.7751455,≤‚ ‘27,40
0,1630941109.7751455,≤‚ ‘97,60
0,1630941109.7751455,≤‚ ‘70,94
0,1630941109.7751455,≤‚ ‘1,34
0,1630941109.7751455,≤‚ ‘9,25
0,1630941109.7761421,≤‚ ‘7,83
0,1630941109.7761421,≤‚ ‘65,56
0,1630941109.7761421,≤‚ ‘7,52
0,1630941109.7761421,≤‚ ‘33,88
